"nova.boot_server":12.936371088027954
"nova.boot_server":13.018225908279419
"nova.boot_server":13.248708009719849
"nova.boot_server":13.420073986053467
"nova.boot_server":13.444611072540283
"nova.boot_server":13.7517831325531
"nova.boot_server":13.844568014144897
"nova.boot_server":14.556113958358765
"nova.boot_server":16.024200201034546
"nova.boot_server":16.241468906402588
"nova.boot_server":17.282827854156494
"nova.boot_server":18.420253038406372
"nova.boot_server":18.574450969696045
"nova.boot_server":19.580600023269653
"nova.boot_server":19.61024308204651
"nova.boot_server":19.727827072143555
"nova.boot_server":19.74417996406555
"nova.boot_server":19.736819982528687
"nova.boot_server":19.755751132965088
"nova.boot_server":19.898386001586914
