"nova.boot_server":11.001310110092163
"nova.boot_server":12.103063106536865
"nova.boot_server":12.541908025741577
"nova.boot_server":13.129000902175903
"nova.boot_server":13.20524001121521
"nova.boot_server":13.274670124053955
"nova.boot_server":13.485559940338135
"nova.boot_server":13.735664129257202
"nova.boot_server":14.470584154129028
"nova.boot_server":14.560882091522217
"nova.boot_server":14.684115171432495
"nova.boot_server":15.038258075714111
"nova.boot_server":15.93493103981018
"nova.boot_server":18.525941133499146
"nova.boot_server":18.615566968917847
"nova.boot_server":18.627689838409424
"nova.boot_server":18.67061495780945
"nova.boot_server":18.693892002105713
"nova.boot_server":18.919132947921753
"nova.boot_server":19.157500982284546
