"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","epoch","read","writ"
12.606,1.383,83.339,2.483,0.0,0.189,11157377024.0,381612032.0,13591068672.0,42382544896.0,264369.0,140242.0,0.0,2314240.0,1438011952.258,0.0,151.0
10.113,0.939,86.443,2.411,0.0,0.094,11159285760.0,381612032.0,13591162880.0,42380541952.0,268431.0,114088.0,0.0,2265088.0,1438011953.258,0.0,170.0
15.303,2.061,79.981,2.405,0.0,0.250,11161186304.0,381612032.0,13591252992.0,42378551296.0,154585.0,107796.0,0.0,2740224.0,1438011954.258,0.0,204.0
13.422,1.953,82.231,2.174,0.0,0.221,11164753920.0,381612032.0,13591506944.0,42374729728.0,98090.0,67752.0,0.0,3067904.0,1438011955.258,0.0,193.0
9.956,1.449,86.421,1.922,0.0,0.252,11165474816.0,381612032.0,13591629824.0,42373885952.0,153100.0,150842.0,0.0,1355776.0,1438011956.258,0.0,133.0
7.094,0.879,90.176,1.664,0.0,0.188,11164180480.0,381612032.0,13591674880.0,42375135232.0,171487.0,110741.0,0.0,1642496.0,1438011957.258,0.0,129.0
9.849,1.725,86.198,2.070,0.0,0.157,11167903744.0,381612032.0,13591760896.0,42371325952.0,133388.0,102535.0,0.0,2154496.0,1438011958.258,0.0,154.0
5.676,1.003,92.317,0.941,0.0,0.063,11166507008.0,381612032.0,13591822336.0,42372661248.0,146218.0,104526.0,0.0,1679360.0,1438011959.258,0.0,68.0
2.288,0.313,96.771,0.627,0.0,0.0,11167121408.0,381612032.0,13591826432.0,42372042752.0,35544.0,26743.0,0.0,692224.0,1438011960.258,0.0,29.0
1.284,0.282,98.121,0.313,0.0,0.0,11166281728.0,381612032.0,13591891968.0,42372816896.0,16417.0,14397.0,0.0,634880.0,1438011961.258,0.0,30.0
3.199,0.502,96.016,0.220,0.0,0.063,11166343168.0,381612032.0,13591945216.0,42372702208.0,20596.0,37015.0,0.0,581632.0,1438011962.258,0.0,25.0
2.978,0.564,96.082,0.345,0.0,0.031,11165646848.0,381612032.0,13592059904.0,42373283840.0,26993.0,23595.0,0.0,524288.0,1438011963.258,0.0,18.0
4.266,0.690,94.322,0.690,0.0,0.031,11166134272.0,381612032.0,13592092672.0,42372763648.0,58727.0,45210.0,0.0,2760704.0,1438011964.258,0.0,67.0
0.502,0.188,99.216,0.094,0.0,0.0,11164884992.0,381612032.0,13592125440.0,42373980160.0,6472.0,3414.0,0.0,397312.0,1438011965.258,0.0,17.0
3.946,0.783,94.112,1.127,0.0,0.031,11165626368.0,381612032.0,13592125440.0,42373238784.0,39063.0,48326.0,0.0,8052736.0,1438011966.258,0.0,164.0
11.334,1.381,84.867,2.261,0.0,0.157,11168018432.0,381612032.0,13592166400.0,42370805760.0,433180.0,159811.0,0.0,2195456.0,1438011967.258,0.0,175.0
10.703,1.381,85.468,2.197,0.0,0.251,11170189312.0,381612032.0,13592215552.0,42368585728.0,120684.0,77729.0,0.0,2392064.0,1438011968.258,0.0,160.0
18.074,2.898,76.317,2.306,0.0,0.405,11170308096.0,381612032.0,13592428544.0,42368253952.0,89896.0,57842.0,0.0,2887680.0,1438011969.258,0.0,167.0
9.468,1.258,86.820,2.233,0.0,0.220,11171307520.0,381612032.0,13592608768.0,42367074304.0,164996.0,72703.0,0.0,2879488.0,1438011970.258,0.0,187.0
11.324,1.443,84.504,2.541,0.0,0.188,11168653312.0,381612032.0,13592698880.0,42369638400.0,200918.0,110332.0,0.0,2469888.0,1438011971.258,0.0,171.0
7.562,1.035,89.583,1.757,0.0,0.063,11172212736.0,381612032.0,13592797184.0,42365980672.0,98644.0,97325.0,0.0,2207744.0,1438011972.258,0.0,144.0
12.484,1.283,84.481,1.564,0.0,0.188,11174039552.0,381612032.0,13592997888.0,42363953152.0,170468.0,167865.0,0.0,2285568.0,1438011973.258,0.0,124.0
2.507,0.376,96.427,0.658,0.0,0.031,11169202176.0,381612032.0,13593018368.0,42368770048.0,79437.0,91909.0,0.0,733184.0,1438011974.258,0.0,23.0
3.790,0.626,95.427,0.125,0.0,0.031,11167281152.0,381612032.0,13593042944.0,42370666496.0,85478.0,40569.0,0.0,544768.0,1438011975.258,0.0,11.0
0.721,0.188,98.777,0.314,0.0,0.0,11166883840.0,381612032.0,13593042944.0,42371063808.0,13118.0,6282.0,0.0,1183744.0,1438011976.258,0.0,33.0
0.658,0.188,98.873,0.282,0.0,0.0,11165986816.0,381612032.0,13593051136.0,42371952640.0,5036.0,7689.0,0.0,385024.0,1438011977.258,0.0,12.0
1.818,0.282,97.367,0.533,0.0,0.0,11164545024.0,381612032.0,13593059328.0,42373386240.0,6761.0,12407.0,0.0,561152.0,1438011978.258,0.0,39.0
2.164,0.282,97.365,0.188,0.0,0.0,11164844032.0,381612032.0,13593092096.0,42373054464.0,34487.0,28853.0,0.0,487424.0,1438011979.258,0.0,23.0
4.953,0.721,93.292,0.972,0.0,0.063,11164651520.0,381612032.0,13593120768.0,42373218304.0,69019.0,43452.0,0.0,790528.0,1438011980.258,0.0,47.0
4.065,0.782,94.841,0.281,0.0,0.031,11164151808.0,381612032.0,13593149440.0,42373689344.0,76554.0,75364.0,0.0,790528.0,1438011981.258,0.0,28.0
3.069,0.470,95.835,0.626,0.0,0.0,11164442624.0,381612032.0,13593149440.0,42373398528.0,23656.0,13196.0,0.0,618496.0,1438011982.258,0.0,39.0
8.668,1.225,87.406,2.450,0.0,0.251,11168714752.0,381612032.0,13593227264.0,42369048576.0,254073.0,111899.0,0.0,2207744.0,1438011983.258,0.0,145.0
6.608,0.846,91.513,0.877,0.0,0.157,11168727040.0,381612032.0,13593325568.0,42368937984.0,50047.0,31989.0,0.0,1601536.0,1438011984.258,0.0,104.0
2.195,0.345,97.115,0.314,0.0,0.031,11169705984.0,381612032.0,13593341952.0,42367942656.0,40200.0,78347.0,0.0,786432.0,1438011985.258,0.0,28.0
0.813,0.188,98.593,0.406,0.0,0.0,11168120832.0,381612032.0,13593341952.0,42369527808.0,3995.0,508.0,0.0,7688192.0,1438011986.258,0.0,140.0
0.875,0.375,98.532,0.219,0.0,0.0,11169804288.0,381612032.0,13593341952.0,42367844352.0,8789.0,51965.0,0.0,311296.0,1438011987.258,0.0,12.0
0.469,0.188,99.186,0.156,0.0,0.0,11168399360.0,381612032.0,13593341952.0,42369249280.0,4992.0,438.0,0.0,290816.0,1438011988.258,0.0,14.0
0.658,0.219,98.904,0.188,0.0,0.031,11167219712.0,381612032.0,13593341952.0,42370428928.0,3257.0,438.0,0.0,262144.0,1438011989.258,0.0,14.0
0.532,0.219,99.031,0.219,0.0,0.0,11166482432.0,381612032.0,13593341952.0,42371166208.0,2563.0,438.0,0.0,217088.0,1438011990.258,0.0,11.0
0.439,0.125,99.279,0.157,0.0,0.0,11163299840.0,381612032.0,13593346048.0,42374344704.0,4992.0,438.0,0.0,180224.0,1438011991.258,0.0,12.0
0.501,0.156,99.249,0.094,0.0,0.0,11161907200.0,381612032.0,13593350144.0,42375733248.0,3257.0,438.0,0.0,94208.0,1438011992.258,0.0,6.0
0.657,0.094,99.030,0.219,0.0,0.0,11160354816.0,381612032.0,13593350144.0,42377285632.0,2703.0,1266.0,0.0,143360.0,1438011993.258,0.0,10.0
0.940,0.407,98.434,0.219,0.0,0.0,11161702400.0,381612032.0,13593358336.0,42375929856.0,4992.0,438.0,0.0,1781760.0,1438011994.258,0.0,56.0
0.688,0.156,99.062,0.094,0.0,0.0,11160555520.0,381612032.0,13593382912.0,42377052160.0,5648.0,2224.0,0.0,98304.0,1438011995.258,0.0,9.0
0.532,0.125,98.592,0.751,0.0,0.0,11159859200.0,381612032.0,13593382912.0,42377748480.0,2563.0,438.0,0.0,4247552.0,1438011996.258,0.0,102.0
0.501,0.063,98.778,0.658,0.0,0.0,11159154688.0,381612032.0,13593382912.0,42378452992.0,4992.0,438.0,0.0,3244032.0,1438011997.258,0.0,81.0
0.470,0.157,99.343,0.031,0.0,0.0,11159224320.0,381612032.0,13593382912.0,42378383360.0,3257.0,438.0,0.0,24576.0,1438011998.258,0.0,3.0
0.469,0.094,99.374,0.063,0.0,0.0,11158147072.0,381612032.0,13593382912.0,42379460608.0,2563.0,438.0,0.0,20480.0,1438011999.258,0.0,3.0
