"nova.boot_server":10.56332015991211
"nova.boot_server":11.035077810287476
"nova.boot_server":11.119625091552734
"nova.boot_server":11.710484981536865
"nova.boot_server":12.44676399230957
"nova.boot_server":12.80663013458252
"nova.boot_server":13.032355070114136
"nova.boot_server":13.048793077468872
"nova.boot_server":13.131887912750244
"nova.boot_server":13.15928602218628
