0.67;5;docker
0.72;5;docker
0.68;5;docker
0.67;5;docker
0.66;5;docker
0.64;10;docker
0.67;10;docker
0.70;10;docker
0.68;10;docker
0.63;10;docker
0.65;10;docker
0.71;10;docker
0.65;10;docker
0.67;10;docker
0.63;10;docker
0.69;20;docker
0.64;20;docker
0.65;20;docker
0.68;20;docker
0.68;20;docker
0.63;20;docker
0.66;20;docker
0.65;20;docker
0.69;20;docker
0.68;20;docker
0.66;20;docker
0.63;20;docker
0.68;20;docker
0.69;20;docker
0.66;20;docker
0.69;20;docker
0.68;20;docker
0.64;20;docker
0.64;20;docker
0.63;20;docker
0.70;30;docker
0.64;30;docker
0.71;30;docker
0.69;30;docker
0.62;30;docker
0.66;30;docker
0.65;30;docker
0.62;30;docker
0.86;30;docker
1.02;30;docker
0.64;30;docker
0.68;30;docker
0.66;30;docker
0.68;30;docker
0.71;30;docker
0.64;30;docker
0.69;30;docker
0.67;30;docker
0.66;30;docker
0.66;30;docker
0.74;30;docker
0.63;30;docker
0.67;30;docker
1.49;30;docker
0.64;30;docker
0.63;30;docker
0.69;30;docker
0.65;30;docker
0.63;30;docker
0.72;30;docker
