total_time;spawn_time;image_time;domain_time;instances
15250;0;13409;491;30
30737;12406;10548;635;30
31990;14882;14241;210;30
31844;12538;11217;347;30
33356;14467;12978;819;30
35614;19147;18306;223;30
35279;17209;15957;490;30
35651;17266;15472;459;30
35453;17119;15506;476;30
35687;16437;14947;261;30
36965;18986;18165;165;30
36707;18005;16917;231;30
37517;18690;16830;418;30
39332;22602;21240;774;30
39022;19827;18414;318;30
38962;20509;19022;471;30
39729;21210;19946;299;30
39553;19936;18299;244;30
39696;20074;18312;376;30
39938;22339;20969;554;30
41536;23536;21293;195;30
41291;23118;21287;331;30
41476;23171;21575;289;30
41330;22334;20406;566;30
41605;21418;19928;440;30
41837;22028;20542;282;30
42121;23324;21877;421;30
41601;22709;20231;177;30
42194;23130;21710;284;30
41675;22172;20513;381;30
