total_time;spawn_time;image_time;instance_time;concurrent_instances
46290;31763;17057;8330;20
46793;32809;16330;9231;20
47036;31934;17382;8308;20
42586;31714;16637;3453;20
42656;30602;15615;8988;20
42553;30262;15438;8941;20
42907;31482;17170;8487;20
43073;31585;17093;8825;20
43118;29859;15307;8740;20
43316;30717;18259;8138;20
43487;30928;18483;8057;20
43767;31191;16663;8729;20
43923;31416;18650;8082;20
43597;30442;18055;8106;20
43963;31262;16710;8862;20
43702;30681;16820;8418;20
43925;31104;16806;8679;20
43857;30932;16947;8566;20
43937;30518;17129;8322;20
44174;30388;17218;8247;20
44149;30470;17433;8174;20
44473;30626;17150;8335;20
37792;27484;11029;9707;20
43537;28258;11414;10107;20
43520;27896;11216;9892;20
43789;28307;12773;8740;20
43949;32766;15778;3542;20
43724;28024;12882;8628;20
43940;28783;12487;9212;20
43612;28022;12857;8603;20
43862;28339;14048;8417;20
44183;28699;14285;8548;20
44359;30125;13470;9595;20
44069;28612;12637;9006;20
44532;30126;13368;9683;20
44686;28859;12528;9101;20
44719;32153;14977;9994;20
44861;28949;14453;8427;20
44729;28102;13899;8447;20
44711;28512;12640;8851;20
44781;28037;13264;8572;20
44689;28100;12986;8625;20
32237;25669;17010;5481;10
32235;25557;17009;5273;10
32482;25749;16855;5604;10
32515;25693;16907;5500;10
32400;24974;15319;5782;10
32610;24458;14955;5297;10
32681;25651;16767;5806;10
32702;24350;14645;5268;10
32825;23228;14223;5275;10
32826;23007;14301;5185;10
28490;21801;14564;3909;10
28545;21786;15068;3712;10
28587;21587;14151;3858;10
28718;21699;14227;4122;10
28956;21699;13960;4306;10
29014;21141;14382;3805;10
29101;21983;14392;4171;10
29139;21154;14544;3739;10
29143;21894;14524;4138;10
29240;21294;14272;3810;10
27398;21510;13655;4748;10
27413;20520;13681;4280;10
27466;20800;13395;4447;10
27405;20652;13560;4417;10
27565;21281;13659;4575;10
27578;20878;13888;4260;10
27854;21381;13514;4590;10
27758;20724;13510;4456;10
27913;20847;12768;4931;10
27895;21436;13650;4679;10
30143;23818;15707;4555;10
30262;23761;15737;4429;10
