total_time;spawn_time;image_time;instance_time;concurrent_instances
42198;22708;1984;8220;30
31262;17209;2481;4247;30
31374;15818;1559;2245;30
31942;15964;1310;3646;30
34643;17149;2034;2854;30
38579;18900;1952;3524;30
37918;18679;1914;3398;30
38848;21111;2250;3629;30
38560;19806;4682;4219;30
38571;19363;4933;4100;30
38500;18812;5377;5112;30
38659;19611;4811;4166;30
38996;20453;2626;2752;30
38584;19180;5075;3918;30
38862;19990;4508;4342;30
39271;21076;3629;3335;30
39037;20071;4024;2678;30
39159;20672;2883;3461;30
39178;20366;3358;3096;30
38820;18227;6186;5844;30
39100;18224;6287;6108;30
39528;20430;4667;4039;30
39301;20564;4379;2739;30
39445;18541;5448;5045;30
39808;20727;4085;2751;30
39498;18420;5708;5063;30
39131;18778;5991;6252;30
39534;19036;5333;4748;30
39751;18121;6070;6227;30
40224;21336;3015;3272;30
22786;6696;870;1999;30
22801;6370;787;2174;30
23553;8170;2064;2361;30
29622;11500;1532;1990;30
32361;12048;1100;2256;30
34690;12771;1252;2373;30
38082;15539;1509;2738;30
38296;17653;3758;5296;30
37837;17740;4203;5342;30
38114;18086;3108;5599;30
37988;16842;3857;6970;30
38295;18200;2861;4525;30
38469;17789;4015;5148;30
38397;18390;2119;4877;30
38377;17091;3923;4830;30
38372;17872;4138;5443;30
38760;17967;3355;5531;30
38862;18269;2509;4718;30
38722;16248;3639;7168;30
38651;18635;3300;5391;30
38736;18437;3827;4973;30
38385;17300;4028;5261;30
38552;17534;4052;5316;30
38691;18346;3904;4936;30
38652;17105;3991;5683;30
38644;16411;3792;5854;30
38966;16931;3998;4685;30
38753;16491;3737;7241;30
38942;16904;3909;5644;30
39368;16712;3819;7242;30
27665;11784;654;2808;30
29082;13466;909;2775;30
30257;13863;1354;2380;30
32200;15268;1558;2362;30
32446;15034;1578;2181;30
33133;14961;1829;1806;30
36932;16311;2052;1611;30
38608;19281;2846;5338;30
38657;19441;2639;5617;30
38931;21241;2429;5654;30
38835;20626;3345;6042;30
38393;19371;4651;5512;30
38657;20530;3780;5980;30
39124;19724;2197;2593;30
38741;17971;5702;6428;30
38958;20383;4346;5748;30
38966;20113;4368;5712;30
39072;18923;4893;5182;30
38978;18767;5022;5106;30
39341;19941;4587;5653;30
39352;20447;4053;5869;30
39088;19079;4787;5276;30
39322;18781;5239;6720;30
39624;20778;3105;6204;30
39302;19832;4788;5543;30
39795;18423;5836;6784;30
39541;18485;5365;6700;30
39493;18253;5837;6916;30
39787;18845;5584;6796;30
