"nova.boot_server":24.633483171463013
"nova.boot_server":25.057402849197388
"nova.boot_server":25.451896905899048
"nova.boot_server":25.849655151367188
"nova.boot_server":26.276344060897827
"nova.boot_server":26.321016788482666
"nova.boot_server":26.49962091445923
"nova.boot_server":26.631808042526245
"nova.boot_server":26.905948877334595
"nova.boot_server":26.944199085235596
