"nova.boot_server":25.195518970489502
"nova.boot_server":26.665537118911743
"nova.boot_server":26.910377025604248
"nova.boot_server":26.95996880531311
"nova.boot_server":27.01640510559082
"nova.boot_server":28.195873022079468
"nova.boot_server":28.566086053848267
"nova.boot_server":28.857131958007812
"nova.boot_server":28.8645601272583
"nova.boot_server":28.896220922470093
"nova.boot_server":29.64015507698059
"nova.boot_server":33.34402799606323
"nova.boot_server":33.397517919540405
"nova.boot_server":33.576128005981445
"nova.boot_server":33.696617126464844
"nova.boot_server":33.943928956985474
"nova.boot_server":34.24626398086548
"nova.boot_server":34.44477105140686
"nova.boot_server":34.71428108215332
"nova.boot_server":34.724634885787964
