tomcat_time;instances
736;5
1021;5
782;5
998;5
1203;5
704;10
737;10
714;10
899;10
1072;10
522;10
769;10
537;10
660;10
776;10
1022;20
871;20
1186;20
806;20
1026;20
694;20
1009;20
1039;20
656;20
755;20
837;20
1012;20
705;20
1087;20
561;20
767;20
832;20
833;20
816;20
772;20
721;30
726;30
701;30
695;30
894;30
1064;30
1181;30
892;30
742;30
805;30
682;30
733;30
695;30
577;30
578;30
556;30
700;30
1021;30
959;30
910;30
882;30
590;30
544;30
900;30
667;30
613;30
764;30
813;30
1028;30
1229;30
