"nova.boot_server":19.12495708465576
"nova.boot_server":20.367532968521118
"nova.boot_server":23.152724981307983
"nova.boot_server":26.11923599243164
"nova.boot_server":28.019021034240723
"nova.boot_server":30.860702991485596
"nova.boot_server":33.30039310455322
"nova.boot_server":36.51655197143555
"nova.boot_server":37.52476501464844
"nova.boot_server":37.72410988807678
"nova.boot_server":38.45995903015137
"nova.boot_server":38.47970795631409
"nova.boot_server":38.791592836380005
"nova.boot_server":39.85678696632385
"nova.boot_server":39.923827171325684
"nova.boot_server":39.95631980895996
"nova.boot_server":40.881807804107666
"nova.boot_server":41.080771923065186
"nova.boot_server":41.07985305786133
"nova.boot_server":41.51007604598999
