"nova.boot_server":23.813783884048462
"nova.boot_server":35.31458306312561
"nova.boot_server":36.44294214248657
"nova.boot_server":40.34580612182617
"nova.boot_server":40.60106110572815
"nova.boot_server":40.77934789657593
"nova.boot_server":40.8321578502655
"nova.boot_server":41.14528703689575
"nova.boot_server":41.298401832580566
"nova.boot_server":41.51081395149231
