"usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","epoch","read","writ"
0.723,0.283,98.429,0.534,0.0,0.031,11303043072.0,408686592.0,11970809856.0,43830063104.0,167502.0,122905426.0,0.0,7712768.0,1438059044.451,0.0,162.0
0.628,0.408,98.838,0.063,0.031,0.031,11302854656.0,408686592.0,11970809856.0,43830251520.0,295826.0,123374488.0,0.0,208896.0,1438059045.451,0.0,9.0
0.661,0.346,98.867,0.126,0.0,0.0,11301838848.0,408686592.0,11970809856.0,43831267328.0,456674.0,123377406.0,0.0,208896.0,1438059046.451,0.0,10.0
0.659,0.314,98.839,0.094,0.0,0.094,11302846464.0,408686592.0,11970830336.0,43830239232.0,523034.0,123372852.0,0.0,184320.0,1438059047.451,0.0,12.0
0.911,0.408,98.619,0.063,0.0,0.0,11301904384.0,408686592.0,11970830336.0,43831181312.0,415854.0,122543795.0,0.0,172032.0,1438059048.451,0.0,11.0
1.163,0.409,98.240,0.157,0.0,0.031,11304984576.0,408686592.0,11970830336.0,43828101120.0,198024.0,123374370.0,0.0,180224.0,1438059049.451,0.0,16.0
0.722,0.345,98.807,0.126,0.0,0.0,11302219776.0,408686592.0,11970830336.0,43830865920.0,164153.0,123377415.0,0.0,118784.0,1438059050.451,0.0,9.0
0.691,0.314,98.680,0.283,0.0,0.031,11304386560.0,408686592.0,11970834432.0,43828695040.0,134464.0,123372852.0,0.0,143360.0,1438059051.451,0.0,11.0
2.168,0.566,96.794,0.409,0.0,0.063,11305365504.0,408686592.0,11970846720.0,43827703808.0,200945.0,123374745.0,0.0,630784.0,1438059052.451,0.0,45.0
3.264,0.785,95.009,0.816,0.0,0.126,11303006208.0,408686592.0,11970871296.0,43830038528.0,415715.0,123372068.0,0.0,983040.0,1438059053.451,0.0,77.0
4.118,0.692,94.027,1.100,0.0,0.063,11303899136.0,408686592.0,11970920448.0,43829096448.0,440734.0,123374169.0,0.0,884736.0,1438059054.451,0.0,78.0
0.974,0.377,98.178,0.440,0.0,0.031,11306287104.0,408686592.0,11970940928.0,43826688000.0,219186.0,123372560.0,0.0,7438336.0,1438059055.451,0.0,120.0
0.786,0.346,98.806,0.031,0.0,0.031,11305668608.0,408686592.0,11970973696.0,43827273728.0,165692.0,123376181.0,0.0,102400.0,1438059056.451,0.0,7.0
0.659,0.439,98.870,0.031,0.0,0.0,11304538112.0,408686592.0,11970973696.0,43828404224.0,206004.0,123374488.0,0.0,49152.0,1438059057.451,0.0,3.0
1.698,0.566,97.453,0.252,0.0,0.031,11305807872.0,408686592.0,11970981888.0,43827126272.0,140605.0,123375311.0,0.0,1314816.0,1438059058.451,0.0,40.0
3.428,0.912,94.591,1.006,0.0,0.063,11308417024.0,408686592.0,11971002368.0,43824496640.0,371112.0,123372115.0,0.0,794624.0,1438059059.451,0.0,79.0
4.521,1.005,93.187,1.193,0.0,0.094,11309441024.0,408686592.0,11971063808.0,43823411200.0,462895.0,123372796.0,0.0,1146880.0,1438059060.451,0.0,99.0
1.003,0.564,97.713,0.689,0.0,0.031,11299627008.0,408686592.0,11971067904.0,43833221120.0,104968.0,123375814.0,0.0,450560.0,1438059061.451,0.0,38.0
1.317,0.533,96.739,1.380,0.0,0.031,11280154624.0,408686592.0,11971080192.0,43852681216.0,89974.0,73825041.0,0.0,1081344.0,1438059062.451,0.0,99.0
0.626,0.156,99.093,0.125,0.0,0.0,11277426688.0,408686592.0,11971092480.0,43855396864.0,10366.0,6366264.0,0.0,626688.0,1438059063.451,0.0,28.0
0.626,0.282,98.780,0.313,0.0,0.0,11276804096.0,408686592.0,11971088384.0,43856023552.0,1362.0,438.0,0.0,110592.0,1438059064.451,0.0,10.0
0.502,0.157,98.620,0.721,0.0,0.0,11276087296.0,408686592.0,11971088384.0,43856740352.0,134.0,438.0,0.0,7430144.0,1438059065.451,0.0,170.0
0.939,0.188,98.717,0.156,0.0,0.0,11274489856.0,408686592.0,11971141632.0,43858284544.0,6223.0,6937.0,0.0,167936.0,1438059066.451,0.0,13.0
0.501,0.250,98.936,0.313,0.0,0.0,11274452992.0,408686592.0,11971145728.0,43858317312.0,274.0,1266.0,0.0,98304.0,1438059067.451,0.0,7.0
0.847,0.220,98.525,0.408,0.0,0.0,11273531392.0,408686592.0,11971145728.0,43859238912.0,6046.0,12958.0,0.0,442368.0,1438059068.451,0.0,56.0
1.033,0.438,98.373,0.156,0.0,0.0,11275292672.0,408686592.0,11971158016.0,43857465344.0,4383.0,1066.0,0.0,131072.0,1438059069.451,0.0,13.0
0.564,0.188,98.935,0.313,0.0,0.0,11274313728.0,408686592.0,11971158016.0,43858444288.0,2044.0,8122.0,0.0,163840.0,1438059070.451,0.0,13.0
1.813,0.531,97.030,0.563,0.0,0.063,11274788864.0,408686592.0,11971162112.0,43857965056.0,33043.0,11958.0,0.0,495616.0,1438059071.451,0.0,49.0
4.548,1.066,93.036,1.223,0.0,0.125,11277037568.0,408686592.0,11971203072.0,43855675392.0,46245.0,24019.0,0.0,987136.0,1438059072.451,0.0,102.0
3.972,0.782,94.119,1.063,0.0,0.063,11276746752.0,408686592.0,11971264512.0,43855904768.0,54469.0,27525.0,0.0,880640.0,1438059073.451,0.0,80.0
10.587,1.697,85.642,1.916,0.0,0.157,11281121280.0,408686592.0,11971346432.0,43851448320.0,106588.0,72876.0,0.0,2084864.0,1438059074.451,0.0,164.0
8.312,1.129,87.798,2.635,0.0,0.125,11283722240.0,408686592.0,11971493888.0,43848699904.0,288242.0,122059.0,0.0,8859648.0,1438059075.451,0.0,303.0
13.794,2.064,81.639,2.190,0.0,0.313,11286700032.0,408686592.0,11971612672.0,43845603328.0,71951.0,53911.0,0.0,2424832.0,1438059076.451,0.0,172.0
7.535,1.130,89.482,1.727,0.0,0.126,11287932928.0,408686592.0,11971719168.0,43844263936.0,79350.0,66980.0,0.0,2007040.0,1438059077.451,0.0,151.0
11.194,1.251,85.241,2.126,0.0,0.188,11288645632.0,408686592.0,11971829760.0,43843440640.0,220241.0,107282.0,0.0,2203648.0,1438059078.451,0.0,188.0
12.653,2.041,83.014,2.135,0.0,0.157,11290099712.0,408686592.0,11972001792.0,43841814528.0,74344.0,55356.0,0.0,2412544.0,1438059079.451,0.0,176.0
10.513,1.353,85.867,2.109,0.0,0.157,11289591808.0,408686592.0,11972276224.0,43842048000.0,93507.0,75575.0,0.0,2367488.0,1438059080.451,0.0,165.0
7.647,1.160,89.784,1.316,0.0,0.094,11287478272.0,408686592.0,11972370432.0,43844067328.0,79964.0,210536.0,0.0,1531904.0,1438059081.451,0.0,103.0
1.282,0.219,98.156,0.344,0.0,0.0,11287105536.0,408686592.0,11972386816.0,43844423680.0,9418.0,20578.0,0.0,278528.0,1438059082.451,0.0,12.0
0.971,0.125,98.590,0.282,0.0,0.031,11284258816.0,408686592.0,11972403200.0,43847254016.0,4995.0,7881.0,0.0,614400.0,1438059083.451,0.0,31.0
1.506,0.220,97.961,0.314,0.0,0.0,11283972096.0,408686592.0,11972427776.0,43847516160.0,9226.0,9040.0,0.0,425984.0,1438059084.451,0.0,22.0
0.627,0.188,98.965,0.220,0.0,0.0,11283877888.0,408686592.0,11972435968.0,43847602176.0,2726.0,9845.0,0.0,204800.0,1438059085.451,0.0,7.0
4.084,0.723,94.156,0.974,0.0,0.063,11283480576.0,408686592.0,11972452352.0,43847983104.0,25239.0,32684.0,0.0,1617920.0,1438059086.451,0.0,102.0
10.421,1.664,85.656,2.040,0.0,0.220,11285573632.0,408686592.0,11972567040.0,43845775360.0,199902.0,61343.0,0.0,2461696.0,1438059087.451,0.0,178.0
9.572,1.480,86.461,2.236,0.0,0.252,11286335488.0,408686592.0,11972694016.0,43844886528.0,189154.0,106354.0,0.0,2412544.0,1438059088.451,0.0,160.0
13.606,1.669,82.047,2.394,0.0,0.283,11285852160.0,408686592.0,11972886528.0,43845177344.0,135336.0,107705.0,0.0,3194880.0,1438059089.451,0.0,195.0
7.091,0.941,89.583,2.259,0.0,0.126,11288698880.0,408686592.0,11973013504.0,43842203648.0,45113.0,44868.0,0.0,2330624.0,1438059090.451,0.0,158.0
